foco_inicial_x,foco_inicial_y,tamaño_viento,viento_x,viento_y,tiempo,tablero_inicial_0,tablero_final_0,tablero_inicial_1,tablero_final_1,tablero_inicial_2,tablero_final_2,tablero_inicial_3,tablero_final_3,tablero_inicial_4,tablero_final_4,tablero_inicial_5,tablero_final_5,tablero_inicial_6,tablero_final_6,tablero_inicial_7,tablero_final_7,tablero_inicial_8,tablero_final_8,tablero_inicial_9,tablero_final_9,tablero_inicial_10,tablero_final_10,tablero_inicial_11,tablero_final_11,tablero_inicial_12,tablero_final_12,tablero_inicial_13,tablero_final_13,tablero_inicial_14,tablero_final_14,tablero_inicial_15,tablero_final_15,tablero_inicial_16,tablero_final_16,tablero_inicial_17,tablero_final_17,tablero_inicial_18,tablero_final_18,tablero_inicial_19,tablero_final_19,tablero_inicial_20,tablero_final_20,tablero_inicial_21,tablero_final_21,tablero_inicial_22,tablero_final_22,tablero_inicial_23,tablero_final_23,tablero_inicial_24,tablero_final_24
3,1,1,-1,-1,20,0.0,1000.0,0.0,1000.0,0.0,1000.0,10.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,10.0,1000.0,1000.0,1000.0,5.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,5.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0
3,2,3,1,1,20,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,14.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,14.0,1000.0,1000.0,1000.0,56.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,56.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,28.0,1000.0,0.0,1000.0
2,3,1,1,1,20,0.0,38.0,0.0,1000.0,0.0,1000.0,0.0,64.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,23.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,23.0,1000.0,1000.0,1000.0,46.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,46.0,1000.0,0.0,1000.0,0.0,1000.0
0,3,2,1,-1,20,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,21.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,21.0,1000.0,0.0,1000.0,21.0,1000.0,42.0,1000.0,63.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0
4,4,2,0,-1,20,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,16.0,1000.0,0.0,1000.0,0.0,1000.0,16.0,1000.0,48.0,1000.0,1000.0,1000.0
3,3,2,0,-1,20,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,23.0,1000.0,0.0,1000.0,0.0,1000.0,23.0,1000.0,69.0,1000.0,1000.0,1000.0,23.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,23.0,1000.0,0.0,1000.0
1,3,0,0,1,20,0.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,0.0,25.0,0.0,11.0,0.0,3.0,0.0,1000.0,13.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,13.0,1000.0,1000.0,1000.0,13.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,13.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0
3,4,0,1,-1,20,0.0,0.0,0.0,0.0,0.0,15.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1000.0,0.0,1000.0,0.0,32.0,0.0,0.0,0.0,3.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,26.0,0.0,1000.0,14.0,1000.0,0.0,1000.0,0.0,9.0,0.0,1000.0,14.0,1000.0,1000.0,1000.0,14.0,1000.0
0,4,0,-1,-1,20,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,17.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,1000.0,1000.0,17.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0
3,1,1,-1,-1,20,0.0,1000.0,0.0,1000.0,0.0,1000.0,22.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,22.0,1000.0,1000.0,1000.0,11.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,11.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,1000.0
